Date,Time,Symbol,Quantity,Price,Side
01/03/2022,14:30:11,MSFT,250,335.77,Buy
01/03/2022,14:30:11,TSLA,250,1142.40,Buy
01/03/2022,14:32:11,AMZN,250,3350.00,Buy
01/03/2022,14:32:11,META,250,15.29,Buy
01/03/2022,14:32:11,AMD,250,146.94,Buy
01/03/2022,14:33:10,META,250,15.32,Buy
01/03/2022,14:33:11,MSFT,250,336.46,Buy
01/03/2022,14:33:11,AAPL,250,178.76,Buy
01/03/2022,14:34:07,META,250,15.33,Buy
01/03/2022,14:34:11,TSLA,250,1145.73,Buy
01/03/2022,14:34:11,MSFT,250,336.98,Buy
01/03/2022,14:34:59,GOOG,250,2896.23,Buy
01/03/2022,14:35:11,AAPL,250,179.03,Buy
01/03/2022,14:35:11,AMZN,250,3340.01,Buy
01/03/2022,14:35:11,TSLA,250,1143.61,Buy
01/03/2022,14:39:11,GOOG,250,2904.03,Buy
01/03/2022,14:39:11,AAPL,250,180.21,Buy
01/03/2022,14:41:11,AMD,250,147.83,Buy
01/03/2022,14:41:11,GOOG,250,2898.05,Buy
01/03/2022,14:44:11,AMD,250,147.66,Buy
01/03/2022,14:45:11,MSFT,250,334.88,Sell
01/03/2022,14:45:11,AMZN,250,3351.36,Buy
01/03/2022,14:45:11,TSLA,250,1165.00,Sell
01/03/2022,14:47:11,META,250,15.16,Sell
01/03/2022,14:47:11,AMZN,250,3350.74,Sell
01/03/2022,14:47:11,AMD,250,147.63,Sell
01/03/2022,14:48:04,META,250,15.15,Buy
01/03/2022,14:48:04,META,250,15.16,Sell
01/03/2022,14:48:11,AAPL,250,179.90,Sell
01/03/2022,14:48:11,MSFT,250,333.65,Sell
01/03/2022,14:49:11,META,250,15.12,Sell
01/03/2022,14:49:11,MSFT,250,332.95,Sell
01/03/2022,14:49:11,AMZN,250,3348.65,Buy
01/03/2022,14:49:11,TSLA,250,1151.20,Sell
01/03/2022,14:50:10,AMZN,250,3347.46,Sell
01/03/2022,14:50:11,GOOG,250,2895.00,Sell
01/03/2022,14:50:11,TSLA,250,1144.26,Sell
01/03/2022,14:50:11,AMD,250,146.48,Buy
01/03/2022,14:50:11,AAPL,250,179.62,Buy
01/03/2022,14:50:11,AAPL,250,179.65,Sell
01/03/2022,14:51:11,AAPL,250,180.04,Buy
01/03/2022,14:51:11,TSLA,250,1145.03,Buy
01/03/2022,14:52:11,META,250,15.08,Buy
01/03/2022,14:52:11,MSFT,250,330.68,Buy
01/03/2022,14:53:11,MSFT,250,330.63,Buy
01/03/2022,14:54:11,META,250,15.08,Buy
01/03/2022,14:54:11,MSFT,250,330.46,Buy
01/03/2022,14:54:11,GOOG,250,2889.44,Buy
01/03/2022,14:54:11,GOOG,250,2890.89,Sell
01/03/2022,14:54:11,TSLA,250,1151.85,Buy
01/03/2022,14:54:11,AAPL,250,179.93,Sell
01/03/2022,14:55:11,AMZN,250,3325.32,Buy
01/03/2022,14:56:11,GOOG,250,2889.19,Sell
01/03/2022,14:56:11,AAPL,250,180.45,Buy
01/03/2022,14:56:11,AMD,250,147.56,Sell
01/03/2022,14:57:11,GOOG,250,2885.31,Buy
01/03/2022,14:58:11,TSLA,250,1152.27,Buy
01/03/2022,14:59:08,GOOG,250,2885.14,Buy
01/03/2022,14:59:11,AMD,250,147.31,Sell
01/03/2022,15:00:11,AMD,250,148.08,Buy
01/03/2022,15:00:11,AMZN,250,3336.59,Sell
01/03/2022,15:02:51,META,250,15.20,Sell
01/03/2022,15:04:11,AMZN,250,3348.59,Sell
01/03/2022,15:04:11,AMD,250,149.47,Buy
01/03/2022,15:05:11,AMZN,250,3343.83,Buy
01/03/2022,15:05:11,AMD,250,148.87,Sell
01/03/2022,15:05:11,AAPL,250,181.11,Sell
01/03/2022,15:05:11,META,250,15.21,Buy
01/03/2022,15:06:11,AMD,250,149.07,Buy
01/03/2022,15:06:11,AAPL,250,181.35,Buy
01/03/2022,15:06:11,AAPL,250,181.38,Sell
01/03/2022,15:06:11,TSLA,250,1152.00,Sell
01/03/2022,15:07:11,MSFT,250,330.95,Sell
01/03/2022,15:07:11,TSLA,250,1150.00,Buy
01/03/2022,15:07:11,META,250,15.19,Sell
01/03/2022,15:08:11,AMZN,250,3341.10,Buy
01/03/2022,15:08:11,MSFT,250,331.01,Sell
01/03/2022,15:08:11,AAPL,250,181.23,Buy
01/03/2022,15:09:11,GOOG,250,2874.20,Sell
01/03/2022,15:09:11,TSLA,250,1152.00,Sell
01/03/2022,15:09:11,MSFT,250,330.95,Sell
