Date,Time,Symbol,Quantity,Price,Side
09/11/2023,13:30:11,AAPL,250,180.25,Buy
09/11/2023,13:30:11,AMZN,250,139.06,Buy
09/11/2023,13:31:11,AAPL,250,180.12,Buy
09/11/2023,13:32:11,AMZN,250,139.48,Buy
09/11/2023,13:33:11,AMZN,250,140.06,Buy
09/11/2023,13:34:11,META,250,305.04,Buy
09/11/2023,13:35:11,META,250,306.02,Buy
09/11/2023,13:36:11,META,250,305.58,Buy
09/11/2023,13:36:11,AAPL,250,179.65,Buy
09/11/2023,13:45:11,AAPL,250,178.24,Sell
09/11/2023,13:45:11,AMZN,250,140.00,Sell
09/11/2023,13:46:11,AAPL,250,177.96,Sell
09/11/2023,13:47:11,AMZN,250,139.93,Sell
09/11/2023,13:47:11,AAPL,250,177.85,Buy
09/11/2023,13:48:11,AMZN,250,139.72,Sell
09/11/2023,13:48:11,AAPL,250,177.71,Buy
09/11/2023,13:49:11,META,250,303.40,Sell
09/11/2023,13:50:11,META,250,303.77,Sell
09/11/2023,13:51:11,AAPL,250,177.57,Sell
09/11/2023,13:51:11,META,250,303.77,Sell
09/11/2023,13:52:11,AAPL,250,177.73,Buy
09/11/2023,14:02:11,AAPL,250,178.07,Sell
09/11/2023,14:03:11,AAPL,250,178.19,Sell
09/11/2023,14:07:11,AAPL,250,177.93,Sell
09/11/2023,14:13:11,META,250,303.03,Buy
09/11/2023,14:14:11,META,250,303.25,Buy
09/11/2023,14:15:11,META,250,303.37,Buy
09/11/2023,14:28:11,META,250,304.87,Sell
09/11/2023,14:29:11,META,250,305.40,Sell
09/11/2023,14:30:11,META,250,304.51,Sell
09/12/2023,13:32:11,MSFT,250,335.36,Sell
09/12/2023,13:32:11,META,250,307.26,Sell
09/12/2023,13:33:11,META,250,308.50,Sell
09/12/2023,13:33:11,MSFT,250,335.93,Sell
09/12/2023,13:33:11,AMZN,250,142.32,Sell
09/12/2023,13:33:11,AAPL,250,179.76,Sell
09/12/2023,13:34:11,META,250,307.79,Sell
09/12/2023,13:34:11,MSFT,250,336.29,Sell
09/12/2023,13:35:11,AAPL,250,179.77,Sell
09/12/2023,13:36:11,AAPL,250,179.76,Sell
09/12/2023,13:47:11,META,250,304.69,Buy
09/12/2023,13:47:11,MSFT,250,336.28,Buy
09/12/2023,13:48:10,META,250,304.89,Buy
09/12/2023,13:48:11,AAPL,250,179.05,Buy
09/12/2023,13:48:11,MSFT,250,336.55,Buy
09/12/2023,13:48:11,AMZN,250,141.89,Buy
09/12/2023,13:49:11,META,250,304.47,Buy
09/12/2023,13:49:11,MSFT,250,336.12,Buy
09/12/2023,13:50:11,AAPL,250,178.67,Buy
09/12/2023,13:51:11,AAPL,250,178.57,Buy
09/12/2023,13:54:10,META,250,305.66,Sell
09/12/2023,13:55:11,META,250,305.47,Sell
09/12/2023,14:04:10,META,250,305.11,Sell
09/12/2023,14:09:11,META,250,304.83,Buy
09/12/2023,14:10:11,META,250,304.80,Buy
09/12/2023,14:19:10,META,250,305.70,Buy
09/12/2023,17:30:11,AAPL,250,177.68,Sell
