Date,Time,Symbol,Quantity,Price,Side
07/01/2022,18:31:11,META,250,158.61,Buy
07/01/2022,18:31:11,MSFT,250,257.99,Buy
07/01/2022,18:31:11,AMZN,250,108.83,Buy
07/01/2022,18:32:11,GOOG,250,2167.69,Sell
07/01/2022,18:33:11,AAPL,250,138.08,Buy
07/01/2022,18:33:11,TSLA,250,673.74,Buy
07/01/2022,18:34:11,GOOG,250,2167.60,Buy
07/01/2022,18:34:11,GOOG,250,2169.00,Sell
07/01/2022,18:34:11,MSFT,250,258.10,Buy
07/01/2022,18:35:11,GOOG,250,2168.70,Buy
07/01/2022,18:35:11,TSLA,250,674.33,Sell
07/01/2022,18:36:11,AMD,250,73.82,Sell
07/01/2022,18:36:11,TSLA,250,674.08,Buy
07/01/2022,18:36:11,AAPL,250,138.16,Sell
07/01/2022,18:36:11,MSFT,250,258.18,Sell
07/01/2022,18:37:11,AMD,250,73.80,Buy
07/01/2022,18:38:11,GOOG,250,2165.42,Sell
07/01/2022,18:38:11,MSFT,250,257.97,Buy
07/01/2022,18:38:11,AAPL,250,138.10,Buy
07/01/2022,18:40:11,META,250,159.08,Sell
07/01/2022,18:40:11,AMZN,250,109.26,Sell
07/01/2022,18:41:11,META,250,159.11,Buy
07/01/2022,18:41:11,META,250,159.14,Sell
07/01/2022,18:41:11,AMZN,250,109.16,Buy
07/01/2022,18:41:11,AMZN,250,109.18,Sell
07/01/2022,18:41:11,AMD,250,73.92,Sell
07/01/2022,18:41:11,TSLA,250,673.64,Sell
07/01/2022,18:42:11,AMD,250,73.91,Sell
07/01/2022,18:43:10,GOOG,250,2163.90,Buy
07/01/2022,18:43:11,AMZN,250,109.18,Buy
07/01/2022,18:43:11,TSLA,250,673.41,Buy
07/01/2022,18:44:11,AMD,250,73.93,Buy
07/01/2022,18:46:11,MSFT,250,258.52,Sell
07/01/2022,18:46:11,META,250,159.45,Buy
07/01/2022,18:46:11,META,250,159.48,Sell
07/01/2022,18:46:11,AMZN,250,109.25,Sell
07/01/2022,18:46:11,AAPL,250,138.25,Sell
07/01/2022,18:48:11,AAPL,250,138.35,Buy
07/01/2022,18:48:11,AAPL,250,138.36,Sell
07/01/2022,18:48:11,TSLA,250,673.90,Sell
07/01/2022,18:48:11,AMD,250,74.05,Buy
07/01/2022,18:48:11,MSFT,250,258.52,Buy
07/01/2022,18:49:07,GOOG,250,2168.46,Sell
07/01/2022,18:49:11,META,250,159.37,Buy
07/01/2022,18:49:11,TSLA,250,674.34,Buy
07/01/2022,18:49:11,MSFT,250,258.78,Sell
07/01/2022,18:50:10,GOOG,250,2166.95,Sell
07/01/2022,18:50:11,MSFT,250,258.75,Buy
07/01/2022,18:50:11,AMZN,250,109.25,Buy
07/01/2022,18:50:11,AAPL,250,138.50,Buy
07/01/2022,18:51:11,GOOG,250,2163.58,Buy
07/01/2022,18:51:11,TSLA,250,674.94,Sell
07/01/2022,18:52:09,GOOG,250,2164.04,Buy
07/01/2022,18:52:11,AMD,250,74.11,Sell
07/01/2022,18:53:11,AAPL,250,138.32,Sell
07/01/2022,18:53:11,MSFT,250,258.61,Sell
07/01/2022,18:54:11,AMD,250,74.05,Buy
07/01/2022,18:56:11,AMZN,250,109.01,Sell
07/01/2022,18:56:11,META,250,158.99,Sell
07/01/2022,18:57:11,AAPL,250,138.37,Buy
07/01/2022,18:58:11,TSLA,250,674.52,Sell
07/01/2022,18:58:11,GOOG,250,2166.99,Sell
07/01/2022,18:58:11,AMZN,250,109.19,Sell
07/01/2022,18:59:11,GOOG,250,2165.25,Buy
07/01/2022,18:59:11,TSLA,250,674.16,Buy
07/01/2022,18:59:11,META,250,159.29,Buy
07/01/2022,18:59:11,AMD,250,74.12,Sell
07/01/2022,18:59:11,AMZN,250,109.13,Buy
07/01/2022,19:00:11,MSFT,250,258.66,Buy
07/01/2022,19:00:11,TSLA,250,673.89,Buy
07/01/2022,19:00:11,AMZN,250,109.14,Buy
07/01/2022,19:01:11,META,250,159.26,Sell
07/01/2022,19:02:11,META,250,159.22,Buy
07/01/2022,19:03:11,AMD,250,73.81,Sell
07/01/2022,19:03:11,AAPL,250,138.09,Sell
07/01/2022,19:03:11,MSFT,250,258.34,Sell
07/01/2022,19:04:11,META,250,158.81,Sell
07/01/2022,19:04:11,TSLA,250,671.72,Sell
07/01/2022,19:05:11,AAPL,250,137.96,Buy
07/01/2022,19:05:11,AAPL,250,137.98,Sell
07/01/2022,19:05:11,MSFT,250,258.38,Sell
07/01/2022,19:05:11,META,250,158.76,Buy
07/01/2022,19:05:11,AMZN,250,108.90,Sell
07/01/2022,19:05:11,AMD,250,73.70,Buy
07/01/2022,19:06:09,GOOG,250,2163.49,Sell
07/01/2022,19:06:11,AMD,250,73.69,Buy
07/01/2022,19:06:11,TSLA,250,672.00,Buy
07/01/2022,19:07:11,GOOG,250,2165.10,Sell
07/01/2022,19:09:11,GOOG,250,2163.78,Buy
07/01/2022,19:09:11,AMZN,250,109.10,Buy
07/01/2022,19:09:11,AMD,250,73.84,Sell
07/01/2022,19:09:11,AAPL,250,138.12,Buy
07/01/2022,19:09:11,MSFT,250,258.84,Buy
07/01/2022,19:10:11,AMD,250,73.86,Buy
07/01/2022,19:12:11,MSFT,250,259.08,Buy
07/01/2022,19:12:11,AAPL,250,138.31,Sell
07/01/2022,19:14:11,AMZN,250,109.28,Sell
07/01/2022,19:14:11,GOOG,250,2168.02,Buy
07/01/2022,19:14:11,GOOG,250,2169.75,Sell
07/01/2022,19:14:11,META,250,159.27,Sell
07/01/2022,19:14:11,TSLA,250,674.66,Sell
07/01/2022,19:14:11,AAPL,250,138.30,Buy
07/01/2022,19:15:10,GOOG,250,2168.30,Buy
07/01/2022,19:15:11,TSLA,250,674.85,Sell
07/01/2022,19:15:11,AMZN,250,109.36,Buy
07/01/2022,19:15:11,AMZN,250,109.37,Sell
07/01/2022,19:15:11,MSFT,250,259.30,Sell
07/01/2022,19:16:11,TSLA,250,674.62,Buy
07/01/2022,19:17:10,TSLA,250,674.55,Buy
07/01/2022,19:17:11,MSFT,250,259.37,Buy
07/01/2022,19:17:11,AMZN,250,109.52,Buy
07/01/2022,19:17:11,META,250,159.24,Sell
07/01/2022,19:19:10,META,250,159.04,Buy
07/01/2022,19:20:11,AMD,250,73.78,Sell
07/01/2022,19:20:11,AAPL,250,138.20,Sell
07/01/2022,19:20:11,META,250,159.16,Buy
07/01/2022,19:20:11,META,250,159.20,Sell
07/01/2022,19:21:11,TSLA,250,673.76,Sell
07/01/2022,19:21:11,AMD,250,73.60,Sell
07/01/2022,19:22:11,AAPL,250,138.17,Buy
07/01/2022,19:22:11,TSLA,250,673.40,Buy
07/01/2022,19:23:11,AMD,250,73.40,Buy
07/01/2022,19:24:09,GOOG,250,2167.90,Sell
07/01/2022,19:24:11,AMD,250,73.49,Buy
07/01/2022,19:24:11,AAPL,250,138.20,Sell
07/01/2022,19:24:11,AMZN,250,109.36,Sell
07/01/2022,19:24:11,MSFT,250,258.71,Sell
07/01/2022,19:25:11,AMD,250,73.52,Sell
07/01/2022,19:26:11,AMZN,250,109.39,Buy
07/01/2022,19:26:11,AAPL,250,138.25,Buy
07/01/2022,19:26:11,META,250,159.53,Buy
07/01/2022,19:27:11,AMD,250,73.55,Buy
07/01/2022,19:27:11,MSFT,250,259.04,Buy
07/01/2022,19:27:11,MSFT,250,259.06,Sell
07/01/2022,19:29:11,AAPL,250,138.23,Sell
07/01/2022,19:29:11,GOOG,250,2170.44,Buy
07/01/2022,19:29:11,GOOG,250,2172.01,Sell
07/01/2022,19:30:11,GOOG,250,2172.48,Buy
07/01/2022,19:30:11,GOOG,250,2174.39,Sell
07/01/2022,19:30:11,AMZN,250,109.38,Sell
07/01/2022,19:30:11,MSFT,250,259.10,Buy
07/01/2022,19:31:11,GOOG,250,2174.16,Buy
07/01/2022,19:31:11,TSLA,250,675.53,Sell
07/01/2022,19:32:11,AMZN,250,109.46,Buy
07/01/2022,19:32:11,AMZN,250,109.47,Sell
07/01/2022,19:32:11,TSLA,250,676.80,Sell
07/01/2022,19:32:11,MSFT,250,259.27,Sell
07/01/2022,19:33:11,AMZN,250,109.61,Buy
07/01/2022,19:34:11,META,250,159.72,Sell
07/01/2022,19:35:11,META,250,159.80,Buy
07/01/2022,19:35:11,META,250,159.83,Sell
07/01/2022,19:36:11,MSFT,250,259.31,Buy
07/01/2022,19:36:11,AAPL,250,138.53,Buy
07/01/2022,19:36:11,META,250,159.72,Buy
07/01/2022,19:37:11,TSLA,250,678.79,Sell
07/01/2022,19:37:11,AAPL,250,138.60,Sell
07/01/2022,19:38:11,TSLA,250,678.20,Buy
07/01/2022,19:38:11,AMD,250,73.73,Sell
07/01/2022,19:39:11,AMD,250,73.70,Sell
07/01/2022,19:39:11,TSLA,250,679.53,Buy
07/01/2022,19:39:11,AAPL,250,138.63,Buy
07/01/2022,19:40:11,AMD,250,73.77,Buy
07/01/2022,19:41:09,TSLA,250,679.82,Buy
07/01/2022,19:41:10,META,250,159.91,Sell
07/01/2022,19:41:11,AAPL,250,138.68,Sell
07/01/2022,19:41:11,AMZN,250,109.62,Sell
07/01/2022,19:42:11,MSFT,250,259.43,Sell
07/01/2022,19:42:11,AMD,250,73.66,Sell
07/01/2022,19:42:11,AAPL,250,138.62,Buy
07/01/2022,19:42:11,AMZN,250,109.61,Buy
07/01/2022,19:43:11,META,250,159.90,Buy
07/01/2022,19:43:11,AMD,250,73.74,Buy
07/01/2022,19:44:11,GOOG,250,2180.30,Sell
07/01/2022,19:44:11,AMD,250,73.74,Buy
07/01/2022,19:45:10,GOOG,250,2179.97,Sell
07/01/2022,19:45:11,MSFT,250,259.35,Buy
07/01/2022,19:45:11,MSFT,250,259.38,Sell
07/01/2022,19:46:11,GOOG,250,2178.97,Sell
07/01/2022,19:46:11,MSFT,250,259.29,Buy
07/01/2022,19:47:11,AMZN,250,109.57,Sell
07/01/2022,19:48:11,AMZN,250,109.48,Sell
07/01/2022,19:49:11,AMZN,250,109.65,Buy
07/01/2022,19:50:11,META,250,159.78,Sell
07/01/2022,19:51:11,META,250,159.74,Sell
07/01/2022,19:51:11,GOOG,250,2174.52,Buy
07/01/2022,19:51:11,MSFT,250,258.94,Sell
07/01/2022,19:51:11,AAPL,250,138.38,Sell
07/01/2022,19:52:11,AMZN,250,109.37,Buy
07/01/2022,19:52:11,MSFT,250,258.84,Buy
07/01/2022,19:52:11,AAPL,250,138.33,Buy
07/01/2022,19:53:11,TSLA,250,678.88,Sell
07/01/2022,19:53:11,GOOG,250,2174.44,Buy
07/01/2022,19:54:11,TSLA,250,679.15,Sell
07/01/2022,19:54:11,META,250,159.56,Buy
07/01/2022,19:54:11,GOOG,250,2175.00,Buy
07/01/2022,19:54:11,AAPL,250,138.28,Sell
07/01/2022,19:55:11,AMD,250,73.51,Sell
07/01/2022,19:56:11,TSLA,250,680.57,Sell
07/01/2022,19:56:11,AMD,250,73.51,Buy
07/01/2022,19:57:11,AMZN,250,109.50,Sell
07/01/2022,19:57:11,AAPL,250,138.73,Sell
07/01/2022,19:58:11,META,250,159.94,Sell
07/01/2022,19:58:11,AMD,250,73.53,Sell
07/01/2022,19:59:11,AMD,250,73.54,Sell
07/01/2022,20:00:09,MSFT,250,259.57,Sell
07/01/2022,20:00:46,MSFT,250,259.80,Sell
07/01/2022,20:03:54,AMZN,250,109.52,Sell
07/01/2022,20:06:09,GOOG,250,2182.49,Sell
07/01/2022,20:06:44,MSFT,250,259.75,Sell
07/01/2022,20:07:07,AAPL,250,138.99,Sell
07/01/2022,20:07:11,AMZN,250,109.50,Sell
07/01/2022,20:08:09,GOOG,250,2183.69,Sell
07/01/2022,20:08:16,META,250,160.01,Sell
07/01/2022,20:08:47,GOOG,250,2183.75,Sell
07/01/2022,20:10:58,AMD,250,73.55,Sell
07/05/2022,13:30:11,AMZN,250,107.53,Buy
07/05/2022,13:30:11,AAPL,250,137.52,Buy
07/05/2022,13:30:11,AMD,250,71.98,Buy
07/05/2022,13:31:11,GOOG,250,2140.00,Buy
07/05/2022,13:31:11,MSFT,250,255.36,Buy
07/05/2022,13:31:11,AMD,250,71.91,Buy
07/05/2022,13:32:11,AMD,250,71.82,Buy
07/05/2022,13:32:11,MSFT,250,255.10,Buy
07/05/2022,13:33:11,TSLA,250,660.07,Buy
07/05/2022,13:33:11,META,250,157.50,Buy
07/05/2022,13:34:11,MSFT,250,255.29,Buy
07/05/2022,13:34:11,AAPL,250,137.58,Buy
07/05/2022,13:34:11,TSLA,250,660.00,Buy
07/05/2022,13:35:11,AAPL,250,137.46,Buy
07/05/2022,13:35:11,AMZN,250,107.01,Buy
07/05/2022,13:36:11,META,250,158.00,Buy
07/05/2022,13:36:11,GOOG,250,2130.41,Buy
07/05/2022,13:37:11,GOOG,250,2126.79,Buy
07/05/2022,13:38:11,META,250,157.80,Buy
07/05/2022,13:38:11,AMZN,250,107.36,Buy
07/05/2022,13:39:11,TSLA,250,655.22,Buy
07/05/2022,13:45:11,AMZN,250,107.75,Sell
07/05/2022,13:45:11,AAPL,250,137.57,Sell
07/05/2022,13:45:11,AMD,250,72.92,Sell
07/05/2022,13:46:11,AMZN,250,108.30,Buy
07/05/2022,13:46:11,AMD,250,73.24,Sell
07/05/2022,13:46:11,GOOG,250,2145.20,Sell
