Date,Time,Symbol,Quantity,Price,Side
12/07/2022,20:49:11,MSFT,250,244.67,Sell
12/07/2022,20:49:11,AAPL,250,140.58,Buy
12/07/2022,20:49:11,TSLA,250,173.35,Sell
12/07/2022,20:49:11,AMZN,250,88.32,Sell
12/07/2022,20:50:11,META,250,113.66,Buy
12/07/2022,20:50:11,AMZN,250,88.37,Buy
12/07/2022,20:50:11,GOOG,250,95.23,Sell
12/07/2022,20:50:11,TSLA,250,173.46,Buy
12/07/2022,20:51:11,AAPL,250,140.87,Sell
12/07/2022,20:51:11,GOOG,250,95.23,Buy
12/07/2022,20:51:11,META,250,113.67,Buy
12/07/2022,20:52:10,AAPL,250,140.82,Buy
12/07/2022,20:52:11,MSFT,250,244.64,Buy
12/07/2022,20:53:11,TSLA,250,173.80,Sell
12/07/2022,20:53:11,GOOG,250,95.30,Sell
12/07/2022,20:53:11,AMZN,250,88.39,Sell
12/07/2022,20:54:11,AMZN,250,88.40,Buy
12/07/2022,20:55:11,GOOG,250,95.21,Buy
12/07/2022,20:56:11,TSLA,250,174.09,Sell
12/07/2022,20:58:11,MSFT,250,244.40,Sell
12/07/2022,20:58:11,AMD,250,70.16,Sell
12/07/2022,21:00:03,MSFT,250,244.45,Sell
12/07/2022,21:00:04,AMZN,250,88.47,Sell
12/07/2022,21:00:10,AMD,250,70.01,Sell
12/07/2022,21:00:11,GOOG,250,95.24,Sell
12/07/2022,21:01:06,META,250,114.00,Sell
12/07/2022,21:01:11,AMD,250,70.07,Sell
12/07/2022,21:02:01,AAPL,250,141.05,Sell
12/07/2022,21:04:11,AAPL,250,141.00,Sell
12/07/2022,21:05:00,AMZN,250,88.41,Sell
12/07/2022,21:05:00,TSLA,250,173.80,Sell
12/07/2022,21:05:05,META,250,113.94,Sell
12/07/2022,21:05:20,GOOG,250,95.14,Sell
12/07/2022,21:05:34,META,250,113.94,Sell
12/07/2022,21:05:56,MSFT,250,244.31,Sell
12/07/2022,21:06:51,AAPL,250,141.00,Sell
12/07/2022,21:09:09,AMZN,250,88.45,Sell
12/07/2022,21:09:42,GOOG,250,95.13,Sell
12/08/2022,14:30:11,TSLA,250,172.90,Buy
12/08/2022,14:31:11,TSLA,250,172.92,Buy
12/08/2022,14:31:11,META,250,116.95,Buy
12/08/2022,14:31:11,MSFT,250,244.57,Buy
12/08/2022,14:31:11,GOOG,250,95.52,Buy
12/08/2022,14:32:11,AMD,250,70.25,Buy
12/08/2022,14:32:11,GOOG,250,95.53,Buy
12/08/2022,14:32:11,TSLA,250,172.43,Buy
12/08/2022,14:32:11,MSFT,250,244.51,Buy
12/08/2022,14:32:11,AAPL,250,142.26,Buy
12/08/2022,14:32:11,META,250,116.79,Buy
12/08/2022,14:33:11,META,250,115.90,Buy
12/08/2022,14:34:11,MSFT,250,244.11,Buy
12/08/2022,14:35:11,AMD,250,69.80,Buy
12/08/2022,14:36:11,AMD,250,69.85,Buy
12/08/2022,14:36:11,AAPL,250,142.05,Buy
12/08/2022,14:38:11,GOOG,250,94.27,Buy
12/08/2022,14:38:11,AMZN,250,87.94,Buy
12/08/2022,14:39:11,AAPL,250,141.69,Buy
12/08/2022,14:40:11,AMZN,250,88.11,Buy
12/08/2022,14:42:11,AMZN,250,88.22,Buy
12/08/2022,14:45:11,TSLA,250,169.55,Sell
12/08/2022,14:46:11,TSLA,250,169.81,Sell
12/08/2022,14:46:11,GOOG,250,94.32,Sell
12/08/2022,14:46:11,META,250,114.85,Sell
12/08/2022,14:46:11,MSFT,250,243.39,Sell
12/08/2022,14:47:11,MSFT,250,243.82,Buy
12/08/2022,14:47:11,MSFT,250,243.86,Sell
12/08/2022,14:47:11,AMD,250,69.39,Sell
12/08/2022,14:47:11,GOOG,250,94.62,Sell
12/08/2022,14:47:11,META,250,115.04,Sell
12/08/2022,14:47:11,AAPL,250,141.50,Sell
12/08/2022,14:47:11,TSLA,250,169.67,Buy
12/08/2022,14:47:11,TSLA,250,169.73,Sell
12/08/2022,14:48:10,GOOG,250,94.52,Buy
12/08/2022,14:48:11,META,250,115.12,Sell
12/08/2022,14:48:11,AMD,250,69.25,Buy
12/08/2022,14:48:11,AAPL,250,141.37,Buy
12/08/2022,14:49:11,META,250,115.15,Buy
12/08/2022,14:49:11,MSFT,250,243.54,Sell
12/08/2022,14:49:11,TSLA,250,170.30,Buy
12/08/2022,14:50:11,AMD,250,69.22,Sell
12/08/2022,14:50:11,GOOG,250,94.62,Buy
12/08/2022,14:50:11,MSFT,250,243.92,Buy
12/08/2022,14:51:11,AMD,250,69.48,Sell
12/08/2022,14:51:11,AAPL,250,141.72,Sell
12/08/2022,14:52:11,AAPL,250,141.68,Buy
12/08/2022,14:53:11,AMZN,250,89.31,Sell
12/08/2022,14:53:11,GOOG,250,94.75,Sell
12/08/2022,14:53:11,AMD,250,69.64,Buy
12/08/2022,14:54:11,AMZN,250,89.44,Buy
12/08/2022,14:54:11,META,250,116.09,Buy
12/08/2022,14:54:11,AAPL,250,142.06,Sell
12/08/2022,14:55:11,META,250,115.89,Buy
12/08/2022,14:55:11,MSFT,250,244.70,Buy
