uni_id,timestamp,ticker,open,high,low,close,volume,vwap,transactions
6059015116694518432,2025-04-14 08:00:00+00:00,META,551.74,551.74,551.74,551.74,1774,550.8089,150
2727925530472410303,2025-04-14 08:00:00+00:00,AMZN,187.0,187.83,185.95,187.75,8769,187.2862,218
2256404091202095726,2025-04-14 08:00:00+00:00,AAPL,209.68,210.8,209.1,209.87,70533,210.2463,1450
7113894841497105266,2025-04-14 08:00:00+00:00,GOOG,161.68,161.68,161.0,161.15,4470,161.1305,148
437123562611595975,2025-04-14 08:00:00+00:00,MSFT,391.39,391.76,389.62,391.76,4052,391.399,220
4926838848623831991,2025-04-14 08:01:00+00:00,AMZN,187.75,187.75,187.69,187.69,2121,187.6983,70
6902782054191047756,2025-04-14 08:01:00+00:00,AAPL,209.82,209.95,209.67,209.69,32317,209.8089,770
3377364739113517284,2025-04-14 08:01:00+00:00,GOOG,161.26,161.26,161.1,161.1,2183,161.193,51
7744715486135513035,2025-04-14 08:01:00+00:00,MSFT,391.97,391.97,391.54,391.8,1847,391.7425,93
4017384998404375531,2025-04-14 08:02:00+00:00,META,550.96,551.57,550.96,551.57,1086,551.1778,55
6069758154205711599,2025-04-14 08:02:00+00:00,AMZN,187.65,187.75,187.59,187.75,4474,187.6602,98
2807890385707218567,2025-04-14 08:02:00+00:00,AAPL,209.69,209.77,209.64,209.68,20866,209.6994,589
4223987865704048086,2025-04-14 08:02:00+00:00,GOOG,161.13,161.13,161.12,161.12,1580,161.1223,36
3589777295428705418,2025-04-14 08:02:00+00:00,MSFT,391.63,391.63,391.63,391.63,784,391.7314,50
3180675758520334510,2025-04-14 08:03:00+00:00,META,551.57,552.0,551.57,552.0,1302,551.8544,70
3728127070806490996,2025-04-14 08:03:00+00:00,AMZN,187.91,187.91,187.91,187.91,2495,187.9209,114
1852578429483070066,2025-04-14 08:03:00+00:00,AAPL,209.7,210.0,209.64,209.87,32289,209.8279,573
5162056564019508907,2025-04-14 08:03:00+00:00,GOOG,161.18,161.18,161.18,161.18,2259,161.2407,52
9097881060471404983,2025-04-14 08:03:00+00:00,MSFT,392.24,392.24,392.24,392.24,1105,392.1003,49
2710543096246593986,2025-04-14 08:04:00+00:00,AMZN,188.02,188.19,188.02,188.1,1088,188.0937,49
6461734506556609383,2025-04-14 08:04:00+00:00,AAPL,209.84,210.28,209.83,210.27,18198,210.0435,424
7109433473292910195,2025-04-14 08:04:00+00:00,GOOG,161.36,161.36,161.36,161.36,2283,161.3565,40
3957161379712387059,2025-04-14 08:04:00+00:00,MSFT,392.36,392.64,392.36,392.64,812,392.4527,43
2990056911775647044,2025-04-14 08:05:00+00:00,META,552.0,552.0,552.0,552.0,1101,551.9902,52
2721138800061056135,2025-04-14 08:05:00+00:00,AMZN,188.1,188.26,188.1,188.26,3568,188.1672,95
2030834811894815367,2025-04-14 08:05:00+00:00,AAPL,210.26,210.37,210.2,210.2,23456,210.2738,446
6419066716582897582,2025-04-14 08:05:00+00:00,GOOG,161.38,161.42,161.23,161.24,4881,161.3012,74
8632480510636203454,2025-04-14 08:05:00+00:00,MSFT,392.71,392.71,392.7,392.7,1032,392.7206,29
9175064441199902318,2025-04-14 08:06:00+00:00,AMZN,188.2,188.2,188.16,188.16,1373,188.2024,79
4057550050943088875,2025-04-14 08:06:00+00:00,AAPL,210.2,210.28,210.0,210.01,28249,210.1053,525
6240412668901068581,2025-04-14 08:06:00+00:00,GOOG,161.25,161.25,161.16,161.22,2413,161.2118,30
4715398744328936818,2025-04-14 08:06:00+00:00,MSFT,392.81,393.0,392.77,392.98,1713,392.9243,74
6798434615197246482,2025-04-14 08:07:00+00:00,AMZN,188.11,188.11,188.11,188.11,1248,188.0799,67
6992201271041310503,2025-04-14 08:07:00+00:00,AAPL,210.01,210.06,210.0,210.0,31822,210.0101,565
382384784324292661,2025-04-14 08:07:00+00:00,GOOG,161.13,161.13,161.13,161.13,483,161.148,23
5432566520503794266,2025-04-14 08:07:00+00:00,MSFT,393.2,393.2,392.7,392.7,4909,392.8339,83
1733826105329802617,2025-04-14 08:08:00+00:00,AMZN,188.03,188.26,188.03,188.16,4676,188.138,82
1317408721755696774,2025-04-14 08:08:00+00:00,AAPL,210.0,210.17,210.0,210.11,20854,210.064,327
8130143863078613803,2025-04-14 08:08:00+00:00,MSFT,392.11,392.28,392.11,392.28,1163,392.201,43
4081507392973072564,2025-04-14 08:09:00+00:00,META,551.47,551.47,551.47,551.47,253,551.6423,18
5053127363490959215,2025-04-14 08:09:00+00:00,AMZN,188.16,188.16,188.16,188.16,1757,188.1719,34
7294931925287866045,2025-04-14 08:09:00+00:00,AAPL,210.12,210.12,209.8,209.93,24642,209.963,422
6064128679238163499,2025-04-14 08:09:00+00:00,GOOG,161.02,161.02,161.02,161.02,401,161.0519,15
1984615613062679337,2025-04-14 08:10:00+00:00,AMZN,188.04,188.04,188.01,188.01,2119,187.9774,62
5479406678060346864,2025-04-14 08:10:00+00:00,AAPL,209.95,209.95,209.7,209.7,9198,209.8201,290
5272088922790215601,2025-04-14 08:10:00+00:00,MSFT,392.25,392.25,392.12,392.12,2207,392.1012,79
6104069535161126512,2025-04-14 08:11:00+00:00,META,551.72,551.72,551.72,551.72,567,551.7166,18
1474349084036775921,2025-04-14 08:11:00+00:00,AMZN,187.78,187.78,187.78,187.78,823,187.7389,48
428562879893624003,2025-04-14 08:11:00+00:00,AAPL,209.7,209.7,209.37,209.62,23075,209.5065,416
7280771595077160855,2025-04-14 08:11:00+00:00,GOOG,160.91,160.91,160.88,160.88,1241,160.8941,32
4376754957554435590,2025-04-14 08:12:00+00:00,AMZN,187.73,187.81,187.73,187.81,2408,187.812,54
7227883333763001691,2025-04-14 08:12:00+00:00,AAPL,209.5,209.5,209.28,209.5,8357,209.3956,246
7771078759584942080,2025-04-14 08:12:00+00:00,GOOG,160.89,160.89,160.89,160.89,252,160.901,4
3944378154201067714,2025-04-14 08:13:00+00:00,AAPL,209.4,209.4,208.9,208.95,21647,209.1079,575
7002934175338597745,2025-04-14 08:13:00+00:00,GOOG,160.91,160.91,160.91,160.91,346,160.9084,15
7505194480686054081,2025-04-14 08:14:00+00:00,META,551.86,551.99,551.86,551.99,2983,551.8606,70
6509057984199453602,2025-04-14 08:14:00+00:00,AMZN,187.84,187.84,187.84,187.84,525,187.8238,27
1763597006677423459,2025-04-14 08:14:00+00:00,AAPL,208.91,209.5,208.91,209.5,15943,209.3404,512
