timestamp,uni_id,ticker,Open,High,Low,Close,volume,vwap,transactions,pattern_label
2025-04-14 08:00:00,6059015116694518432,META,551.74,551.74,551.74,551.74,1774,550.8089,150,hammer
2025-04-14 08:00:00,2727925530472410303,AMZN,187.0,187.83,185.95,187.75,8769,187.2862,218,bearish_harami
2025-04-14 08:00:00,2256404091202095726,AAPL,209.68,210.8,209.1,209.87,70533,210.2463,1450,bullish_engulfing
2025-04-14 08:00:00,7113894841497105266,GOOG,161.68,161.68,161.0,161.15,4470,161.1305,148,shooting_star
2025-04-14 08:00:00,437123562611595975,MSFT,391.39,391.76,389.62,391.76,4052,391.399,220,no_pattern
2025-04-14 08:01:00,4926838848623831991,AMZN,187.75,187.75,187.69,187.69,2121,187.6983,70,bearish_harami
2025-04-14 08:01:00,6902782054191047756,AAPL,209.82,209.95,209.67,209.69,32317,209.8089,770,bearish_harami
2025-04-14 08:01:00,3377364739113517284,GOOG,161.26,161.26,161.1,161.1,2183,161.193,51,bearish_engulfing
2025-04-14 08:01:00,7744715486135513035,MSFT,391.97,391.97,391.54,391.8,1847,391.7425,93,bullish_engulfing
2025-04-14 08:02:00,4017384998404375531,META,550.96,551.57,550.96,551.57,1086,551.1778,55,bearish_engulfing
2025-04-14 08:02:00,6069758154205711599,AMZN,187.65,187.75,187.59,187.75,4474,187.6602,98,bearish_harami
2025-04-14 08:02:00,2807890385707218567,AAPL,209.69,209.77,209.64,209.68,20866,209.6994,589,hammer
2025-04-14 08:02:00,4223987865704048086,GOOG,161.13,161.13,161.12,161.12,1580,161.1223,36,hammer
2025-04-14 08:02:00,3589777295428705418,MSFT,391.63,391.63,391.63,391.63,784,391.7314,50,no_pattern
2025-04-14 08:03:00,3180675758520334510,META,551.57,552.0,551.57,552.0,1302,551.8544,70,shooting_star
2025-04-14 08:03:00,3728127070806490996,AMZN,187.91,187.91,187.91,187.91,2495,187.9209,114,inverted_hammer
2025-04-14 08:03:00,1852578429483070066,AAPL,209.7,210.0,209.64,209.87,32289,209.8279,573,no_pattern
2025-04-14 08:03:00,5162056564019508907,GOOG,161.18,161.18,161.18,161.18,2259,161.2407,52,bearish_harami
2025-04-14 08:03:00,9097881060471404983,MSFT,392.24,392.24,392.24,392.24,1105,392.1003,49,shooting_star
2025-04-14 08:04:00,2710543096246593986,AMZN,188.02,188.19,188.02,188.1,1088,188.0937,49,no_pattern
2025-04-14 08:04:00,6461734506556609383,AAPL,209.84,210.28,209.83,210.27,18198,210.0435,424,bearish_engulfing
2025-04-14 08:04:00,7109433473292910195,GOOG,161.36,161.36,161.36,161.36,2283,161.3565,40,no_pattern
2025-04-14 08:04:00,3957161379712387059,MSFT,392.36,392.64,392.36,392.64,812,392.4527,43,no_pattern
2025-04-14 08:05:00,2990056911775647044,META,552.0,552.0,552.0,552.0,1101,551.9902,52,shooting_star
2025-04-14 08:05:00,2721138800061056135,AMZN,188.1,188.26,188.1,188.26,3568,188.1672,95,shooting_star
